run_at,trade_date,slot,session,score,signal_code,signal_text,confidence,data_completeness,nasdaq,sp500,sox,vix,usdkrw,foreign,institution,program,program_total,futures_day_disparity,futures_day_basis,futures_night_disparity,futures_night_basis,kospi_at_signal,kospi_entry_price,kospi_close,return_after_signal,result,evaluated_at
2026-07-14 09:44:05,2026-07-14,opening,market_open,32,INVERSE,🔴 하락 우세,34,88,-1.55,-0.79,-4.78,14.17,-0.01,5274,1291381,,,,,,,6782.5400390625,6782.5400,6856.8301,1.0953,MISS,2026-07-14 17:52:50
2026-07-14 10:12:58,2026-07-14,opening,market_open,36,INVERSE,🔴 하락 우세,27,88,-1.55,-0.79,-4.78,14.17,-0.35,254883,1684240,,,,,,,6857.490234375,6857.4902,6856.8301,-0.0096,HIT,2026-07-14 17:52:50
2026-07-14 10:24:52,2026-07-14,opening,market_open,36,INVERSE,🔴 하락 우세,27,88,-1.55,-0.79,-4.78,14.17,-0.44,243953,1798343,,,,,,,6975.10986328125,6975.1099,6856.8301,-1.6957,HIT,2026-07-14 17:52:50
2026-07-14 10:39:39,2026-07-14,midday,market_open,18,INVERSE,🔴 인버스 우세,56,62,-1.55,-0.79,-4.78,14.17,-0.39,,,,,,,,,6878.0,6878.0000,6856.8301,-0.3078,HIT,2026-07-14 17:52:50
2026-07-14 10:53:04,2026-07-14,midday,market_open,32,INVERSE,🔴 하락 우세,36,100,-1.55,-0.79,-4.78,14.17,-0.35,342757,1834860,-7992,-4741,,,,,6892.06005859375,6892.0601,6856.8301,-0.5112,HIT,2026-07-14 17:52:50
2026-07-14 11:15:22,2026-07-14,midday,market_open,18,INVERSE,🔴 인버스 우세,56,62,-1.55,-0.79,-4.78,14.17,-0.32,,,,,,,,,6802.5498046875,6802.5498,6856.8301,0.7979,MISS,2026-07-14 17:52:50
2026-07-14 12:06:53,2026-07-14,midday,market_open,32,INVERSE,🔴 하락 우세,36,100,-1.55,-0.79,-4.78,14.17,-0.56,283031,2262982,-9709,-4848,,,,,6724.56005859375,6724.5601,6856.8301,1.9670,MISS,2026-07-14 17:52:50
2026-07-14 12:23:23,2026-07-14,midday,market_open,32,INVERSE,🔴 하락 우세,36,100,-1.55,-0.79,-4.78,14.17,-0.59,318537,2364244,-9276,-4284,,,,,6598.7998046875,6598.7998,6856.8301,3.9103,MISS,2026-07-14 17:52:50
2026-07-14 13:54:00,2026-07-14,afternoon,market_open,32,INVERSE,🔴 하락 우세,36,100,-1.55,-0.79,-4.78,14.17,-0.63,214745,3123176,-5918,1303,,,,,6709.83984375,6709.8398,6856.8301,2.1907,MISS,2026-07-14 17:52:50
2026-07-14 14:13:25,2026-07-14,afternoon,market_open,42,INVERSE,🔴 하락 우세,16,100,-1.55,-0.79,-4.78,14.17,-0.65,361632,3307371,982513,1752770,,,,,6790.8798828125,6790.8799,6856.8301,0.9712,MISS,2026-07-14 17:52:50
2026-07-14 16:19:43,2026-07-14,closing,after_market,42,INVERSE,🔴 하락 우세,16,100,-1.55,-0.79,-4.78,14.17,-0.21,952291,3215898,1473328,1936595,,,,,6836.89990234375,6836.8999,6856.8301,0.2915,MISS,2026-07-14 17:52:50
2026-07-14 17:28:58,2026-07-14,closing,after_market,45,INVERSE,🔴 하락 우세,10,100,-1.55,-0.79,-4.78,1.17,-0.32,952297,3215909,1585475,2048740,,,,,6836.89990234375,6836.8999,6856.8301,0.2915,MISS,2026-07-14 17:52:50
2026-07-15 09:06:43,2026-07-15,opening,market_open,94,LEVERAGE,🟢 레버리지 우세,88,100,0.9,0.38,2.54,-3.85,-0.59,422118,-101895,382869,597803,,,,,6856.830078125,,,,,
2026-07-15 12:23:42,2026-07-15,midday,market_open,100,LEVERAGE,🟢 레버리지 우세,100,100,0.9,0.38,2.54,-3.85,-0.46,1751382,295408,1678923,1941571,,,,,7339.2099609375,,,,,
2026-07-15 14:13:52,2026-07-15,afternoon,market_open,42,INVERSE,🔴 하락 우세,16,100,-1.55,-0.79,-4.78,14.17,-0.49,2355099,400935,2255432,2532248,,,,,7380.68017578125,,,,,
2026-07-15 14:24:48,2026-07-15,afternoon,market_open,42,INVERSE,🔴 하락 우세,16,100,-1.55,-0.79,-4.78,14.17,-0.42,2401490,284866,2282023,2554241,,,,,7342.9501953125,,,,,
2026-07-15 14:33:23,2026-07-15,afternoon,market_open,42,INVERSE,🔴 하락 우세,16,100,-1.55,-0.79,-4.78,14.17,-0.55,2415631,175649,2284093,2540683,,,,,7312.10009765625,,,,,
2026-07-15 14:41:08,2026-07-15,afternoon,market_open,87,LEVERAGE,🟢 레버리지 우세,68,75,0.64,0.16,,,-0.57,2471704,57180,2317000,2547248,,,,,7310.6201171875,,,,,
2026-07-15 16:23:18,2026-07-15,closing,after_market,90,LEVERAGE,🟢 레버리지 우세,73,75,0.85,0.21,,,-0.59,2321402,182332,1943808,1897923,,,,,7347.22998046875,,,,,
